"created_at","text","location","time_zone","lang","geo","place","followers_count","friends_count","listed_count","favourites_count","statuses_count","retweet_count","reply_count","retweeted"
"Wed Nov 22 18:09:09 +0000 2017","RT @AntonioRNaranjo: ¿Ha dimitido ya @AdaColau? Esta señora ha hundido Barcelona, espantado al turismo, echado a inversores y no supo ni… ",,,"es",,,109,111,4,1226,1226,0,0,false
"Wed Nov 22 18:09:13 +0000 2017","RT @SenceChile: Director Nacional @Pgoic firma convenio de colaboración con @subturismo junto a Subsecretaria @javieramontes… ","Dakhla, Royaume du Maroc","Athens","es",,,158,807,86,66307,66307,0,0,false
"Wed Nov 22 18:09:17 +0000 2017","RT @graziano_delrio: questa mattina in viaggio con @matteorenzi #trenoPd ad incontrare sindaci, associazioni e comunità, per parlare di… ","Lucania e Calabria","Amsterdam","it",,,295,642,33,330,330,0,0,false
"Wed Nov 22 18:09:21 +0000 2017","Viceministro de Turismo Internacional: La Fitven 2017 logrará el desarrollo económico nacional… https://t.co/St7SXq6xjo","El Mundo","Pacific Time (US & Canada)","es",,,235,164,1,17,17,0,0,false
"Wed Nov 22 18:09:24 +0000 2017","Estamos de fiesta y vamos a celebrarlo en la Feria Internacional de Turismo de Venezuela #FitVen2017 https://t.co/Yj5Zq3qAJo",,,"es",,,95,129,0,42,42,0,0,false
"Wed Nov 22 18:09:26 +0000 2017","RT: vtvcanal8 :Viceministro de Turismo Internacional: La Fitven 2017 logrará el desarrollo económico nacional… https://t.co/Xvf1p8hg6a",,"Jakarta","es",,,71,49,1,2,2,0,0,false
"Wed Nov 22 18:09:26 +0000 2017","RT @anadebande: La antitodo y pro-okupa d @AdaColau hunde Barcelona...No quería la AgenciaM,no quiere turismo,no quiere bolardos...… ","Ahí al lado.","Madrid","es",,,644,411,14,14932,14932,0,0,false
"Wed Nov 22 18:09:34 +0000 2017","RT @LuzMaBeristain: El día de hoy presentaré un exhorto a @PROFEPA_Mx con con el objetivo de seguir propiciando el turismo sustentable… ",,"Mountain Time (US & Canada)","es",,,21909,1833,8,2027,2027,0,0,false
"Wed Nov 22 18:09:36 +0000 2017","RT @CCScity450: Hoy #22Nov, a las 5 p.m., el Arq. Jorge Villota nos hablará sobre [ Ocio, Recreación y Turismo ] en el cuarto y últ… ","Caracas, Venezuela","Central Time (US & Canada)","es",,,1041,311,35,166,166,0,0,false
"Wed Nov 22 18:09:38 +0000 2017","Estamos de fiesta y vamos a celebrarlo en la Feria Internacional de Turismo de Venezuela #fitVen2017 https://t.co/qPRlZTLtMG",,,"es",,,88,146,0,42,42,0,0,false
"Wed Nov 22 18:09:38 +0000 2017","Estamos de fiesta y vamos a celebrarlo en la Feria Internacional de Turismo de Venezuela #fitVen2017 https://t.co/I1fvOUjqC9",,,"es",,,92,140,0,42,42,0,0,false
"Wed Nov 22 18:09:39 +0000 2017","RT @El_Plural: Puigdemont ha hecho una escapadita a Gante para hacer turismo aunque no se olvida de hacer campaña en las redes soc… ",,,"es",,,3334,4999,377,410,410,0,0,false
"Wed Nov 22 18:09:40 +0000 2017","RT @archeostorie: Educare alla #sostenibilità vuol dire anche ripensare il #turismo nelle aree naturali ed archeologiche. Ecco perché… ","Partner STR e TrustYou",,"it",,,1272,719,187,60733,60733,0,0,false
"Wed Nov 22 18:09:40 +0000 2017","RT @riojalibreok: #Turismo #InformeEspecial Circuito Imperdible: El Chiflón-Ischigualasto-Talampaya - Un viaje Majestuoso de 250 mill… ","La Rioja","Mid-Atlantic","es",,,1817,558,17,2091,2091,0,0,false
"Wed Nov 22 18:09:41 +0000 2017","RT @AMETRD: DIGESETT=AMET realiza conferencia ""El Ordenamiento del Tráfico Vehicular como parte integral del Turismo Sostenible… ","Dominican Republic","Bogota","es",,,6,16,0,0,0,0,0,false
"Wed Nov 22 18:09:42 +0000 2017","RT @iremunoz: La X Reunión Anual del Grupo de Acción Regional de las Américas se lleva a cabo en la CDMX con un análisis sobrr Ex… ",,,"es",,,175,28,7,4,4,0,0,false
"Wed Nov 22 18:09:42 +0000 2017","@InguatPrensa entrega al @MineducGT Plan de Estudios para Bachillerato con Orientación en Turismo. https://t.co/5RSqUQ2v8g","GUATEMALA","Central Time (US & Canada)","es",,,41844,621,314,614,614,0,0,false
"Wed Nov 22 18:09:45 +0000 2017","RT @JesusCintora: Urdangarin, condenado a 6 años de cárcel y en libertad, pide que le absuelvan, porque ""no se puede demandar al olmo… ","Sevilla",,"es",,,1580,2844,30,12747,12747,0,0,false
"Wed Nov 22 18:09:45 +0000 2017","Como presidenta de la comisión de turismo en la @AsambleaDF, reconozco y felicito a @TurismoCDMX generar 100 produc… https://t.co/ois2WbFVbb","Azcapotzalco, Distrito Federal","America/Mexico_City","es",,,3290,1070,20,3714,3714,0,0,false
"Wed Nov 22 18:09:46 +0000 2017","Empire State Building💝\n\n#yellowgreencorp #turismo #nyc #empirestatebuilding #manhattan https://t.co/Gt62GiDjbV","New York, USA","Eastern Time (US & Canada)","en",,"{""id"":""27485069891a7938"",""url"":""https://api.twitter.com/1.1/geo/id/27485069891a7938.json"",""place_type"":""admin"",""name"":""New York"",""full_name"":""New York, NY"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-74.255641,40.495865],[-74.255641,40.91533],[-73.699793,40.91533],[-73.699793,40.495865]]]},""attributes"":{}}",1235,4980,10,13,13,0,0,false
"Wed Nov 22 18:09:48 +0000 2017","RT @Fundacion_ONCE: El evento @allmadrid4all propondrá soluciones para eliminar las barreras en el turismo https://t.co/JOTaQu8BXe https://…","Benidorm. Madrid",,"es",,,3865,1340,147,28443,28443,0,0,false
"Wed Nov 22 18:09:50 +0000 2017","RT @thegranturismo: You asked, we listened. Free new cars, offline play, and new single-player mode coming to Gran Turismo Sport.\nhttps://t…","Illinois","Central Time (US & Canada)","en",,,326,790,17,2585,2585,0,0,false
"Wed Nov 22 18:09:50 +0000 2017","RT @VTVcanal8: Viceministro de Turismo Internacional: La Fitven 2017 logrará el desarrollo económico nacional… ","venezuela caracas","Caracas","es",,,203,717,1,118,118,0,0,false
"Wed Nov 22 18:09:53 +0000 2017","RT @FrancoTrax: Il MoVimento 5 Stelle e i 'soliti noti' \ndi Adriano Meloni, Assessore allo Sviluppo Economico, Turismo e Lavoro Rom… ","Angelo di notte e giorni bui","Amsterdam","it",,,6099,3492,233,102813,102813,0,0,false
"Wed Nov 22 18:09:56 +0000 2017","RT @nextepRetail: El turismo de compras se plantea como objetivo atraer 20.000 millones de euros de 2018 a 2020 | #TurismoDeCompras… ","Madrid, España","Madrid","es",,,48116,2445,862,8465,8465,0,0,false
"Wed Nov 22 18:09:59 +0000 2017","Gran Turismo Sport https://t.co/RzhryhHeDn","France","Paris","es",,,53,872,1,0,0,0,0,false
"Wed Nov 22 18:10:00 +0000 2017","@_DayV Wey como te puedes estresar en la carrera de turismo #NoMames",,,"es",,,936,685,5,4080,4080,0,0,false
"Wed Nov 22 18:10:01 +0000 2017","Inscripciones abiertas para la escuela de turismo https://t.co/GIiHIlnWhN",,"Pacific Time (US & Canada)","es",,,1083,913,7,1851,1851,0,0,false
"Wed Nov 22 18:10:02 +0000 2017","Now that's more like it. GT Sport is getting an offline mode after all. https://t.co/sJcRWM1WTB #gtsport","Keith@theouterhaven.net","Central Time (US & Canada)","en",,,349,786,61,253,253,0,0,false
"Wed Nov 22 18:10:05 +0000 2017","Amazon, Google y Facebook siguen moviéndose para disrumpir la industria de los Viajes y el Turismo.\nhttps://t.co/5m5U2mJSWB",,,"es",,,88,45,2,1,1,0,0,false
"Wed Nov 22 18:10:09 +0000 2017","Dragon 2, nave que realizará el primer viaje de turismo espacial https://t.co/aiSxYSuHtw","Solidaridad, Quintana Roo",,"es",,,86,95,24,1,1,0,0,false
"Wed Nov 22 18:10:10 +0000 2017","『グランツーリスモＳＰＯＲＴ』の今後のアップデートについてのお知らせ - NEWS - グランツーリスモ・ドットコム https://t.co/ouzAH9xeEb","T.K",,"ja",,,213,201,5,9841,9841,0,0,false
"Wed Nov 22 18:10:11 +0000 2017","RT @turispotencia: ¡Explosión de sabores! Buen provecho, mira la pizza que ofrece @laotravaina  #NuevaEsparta #Turismo https://t.co/qqS1DF6…","San Cristóbal, Venezuela","Caracas","es",,,1299,910,9,3845,3845,0,0,false
"Wed Nov 22 18:10:11 +0000 2017","RT @JesusCintora: Urdangarin, condenado a 6 años de cárcel y en libertad, pide que le absuelvan, porque ""no se puede demandar al olmo… ",,,"es",,,19,59,0,1585,1585,0,0,false
"Wed Nov 22 18:10:13 +0000 2017","Gran Turismo Sport : le mode Carrière ""GT League"" débarquera en décembre, voici tous les détails - ... https://t.co/BDVzNGOgty","Seine-Saint-Denis, France","Paris","fr",,,25,44,22,1,1,0,0,false
"Wed Nov 22 18:10:15 +0000 2017","RT @turispotencia: ¡Para Vivir y Contar! .@turispotencia a bordo del jeep safari de @lifebeachtour explora bellezas #NuevaEsparta… ","San Cristóbal, Venezuela","Caracas","es",,,1299,910,9,3845,3845,0,0,false
"Wed Nov 22 18:10:16 +0000 2017","#RT @Mitradel: RT @PresidenciaPma: Panamá se convierte en Destino Turístico Aprobado con el Acuerdo en materia de t… https://t.co/wg16sUIgNK","Panamá","Pacific Time (US & Canada)","es",,,2774,93,22,1,1,0,0,false
"Wed Nov 22 18:10:18 +0000 2017","RT @OSul_noticias: Presidente do #Sindha enfatiza a necessidade de uma política de Estado para o turismo https://t.co/7djVHD0vCf… ","Rio de Janeiro, Brasil","America/Sao_Paulo","pt",,,8992,92,217,180571,180571,0,0,false
"Wed Nov 22 18:10:21 +0000 2017","RT @LargaronOK: A 25 años de su partida recordamos a Roberto Mouras, el imborrable Toro de Carlos Casares. Tricampeón del Turismo C… ","Villa Luro, Argentina",,"es",,,504,733,0,5780,5780,0,0,false
"Wed Nov 22 18:10:23 +0000 2017","Jose Safie , Educación, Seguridad, Tecnología, CICISv, Parques, Reactivacion de la  Caficultura, Turismo y muchos m… https://t.co/9Sx0lEBYOY","Santa Ana, El Salvador",,"es",,,2036,109,0,25,25,0,0,false
"Wed Nov 22 18:10:23 +0000 2017","RT @JoseDuarteG: Cuarteto Caña Brava de @UniJaveriana acompañó con mucho talento el VIII encuentro distrital de colegios amigos del… ",,"Eastern Time (US & Canada)","es",,,87,70,4,906,906,0,0,false
"Wed Nov 22 18:10:26 +0000 2017","%22Colau+y+la+Generalitat%22,%22Correct+Score+Double%22,%22ERC+y+JuntsxCat%22,%22Gran+Turismo+Sport%22,%22Luc%C3%AD… https://t.co/6Hwshn57XW","Moderdonia","Pacific Time (US & Canada)","in",,,43,46,1,25,25,0,0,false
"Wed Nov 22 18:10:28 +0000 2017","RT @bmwindia: On the road to success. \n\nThe #BMW Gran Turismo.\n\nBook a test drive: https://t.co/rovc79Levg https://t.co/UdXKGkLcVD","INDIA","New Delhi","en",,,1000,3775,26,20457,20457,0,0,false
"Wed Nov 22 18:10:30 +0000 2017","Turismo: l'Emilia-Romagna si presenta in Polonia a TT Warsaw https://t.co/jpf3yFprcf","Trieste, Italy","Pacific Time (US & Canada)","it",,,1084,14,72,18,18,0,0,false
"Wed Nov 22 18:10:35 +0000 2017","RT @Dip_Alpizar: El Secretario de @TurismoCDMX presenta #InformeSECTURCDMX ante Comisiones Unidas de Turismo y de Fomento Económico. https:…",,"Central Time (US & Canada)","es",,,773,448,13,11294,11294,0,0,false
"Wed Nov 22 18:10:36 +0000 2017","RT @SpainUN: El grupo de comunicación de la @ONU_es se reúne esta semana en Organización Mundial del Turismo (@UNWTO) en #Madrid… ","Capitán Haya, 42,Madrid, Spain","Madrid","es",,,54614,3445,1355,2277,2277,0,0,false
"Wed Nov 22 18:10:39 +0000 2017","Estamos de fiesta y vamos a celebrarlo en la Feria Internacional de Turismo de Venezuela #FitVen2017 https://t.co/bm1Iy8bLpC",,,"es",,,97,96,0,42,42,0,0,false
"Wed Nov 22 18:10:40 +0000 2017","Cómo evitar “perder la cabeza” cuando sales de viaje con tus hijos #Turismo https://t.co/mkxYONJ9ZN","Comunidad de Madrid, España","Bogota","es",,,39757,29470,292,144,144,0,0,false
"Wed Nov 22 18:10:42 +0000 2017","RT @ces_Uruguay: Los liceos 4 y 5 de Maldonado e Invernizzi de Piriápolis convocaron a un concurso fotográfico interliceal relaciona… ","Montevideo - Uruguay","America/Montevideo","es",,,558,494,3,49141,49141,0,0,false
"Wed Nov 22 18:10:45 +0000 2017","RT @turispotencia: ¡Encarcelada! la heroina venezolana, Luisa Cáceres de Arismendi fue retenida y presionada en este sitio, para delat… ","San Cristóbal, Venezuela","Caracas","es",,,1299,910,9,3845,3845,0,0,false
"Wed Nov 22 18:10:50 +0000 2017","RT @turismoportugal: Turismo de Portugal organiza Workshops ""Como melhorar o negócio do meu hotel - As vantagens do marketing digital""\nL… ","Dakhla, Royaume du Maroc","Athens","pt",,,158,807,86,66309,66309,0,0,false
"Wed Nov 22 18:10:50 +0000 2017","RT @turispotencia: 🔵Hace más de 50 años, el también conocido Fuerte de Santa Eminencia, fue decretado Monumento Histórico Nacional… ","San Cristóbal, Venezuela","Caracas","es",,,1299,910,9,3845,3845,0,0,false
"Wed Nov 22 18:10:54 +0000 2017","RT @VTVcanal8: Viceministro de Turismo Internacional: La Fitven 2017 logrará el desarrollo económico nacional… ","Maracaibo, Zulia","Pacific Time (US & Canada)","es",,,585,604,1,984,984,0,0,false
"Wed Nov 22 18:10:54 +0000 2017","@ferolivera09 preside la toma de protesta de la Asociación de Guías Certificados del Estado de @guanajuato ¡Enhorab… https://t.co/UN2EV3HBht",,"Central Time (US & Canada)","es",,,689,650,8,884,884,0,0,false
"Wed Nov 22 18:10:58 +0000 2017","RT @inatur_ne: Te esperamos desde el 23 al 26 de noviembre en La Perla de #Margarita para que disfrutes de la XII edición de…… ","Isla de Margarita, Venezuela","Hawaii","es",,,171,283,0,405,405,0,0,false
"Wed Nov 22 18:10:59 +0000 2017","RT @VTVcanal8: Viceministro de Turismo Internacional: La Fitven 2017 logrará el desarrollo económico nacional… ",,"Caracas","es",,,278,951,1,8413,8413,0,0,false
"Wed Nov 22 18:11:05 +0000 2017","RT @Agencia_Andina: #ENVIVO Ahora por #AndinaCanalOnline #DestinoPeru: José Ibarcerna, Jefe de la Oficina de Turismo, nos comenta sobre… ","Lima","Lima","es",,,557,520,17,380,380,0,0,false
"Wed Nov 22 18:11:06 +0000 2017","RT @thegranturismo: You asked, we listened. Free new cars, offline play, and new single-player mode coming to Gran Turismo Sport.\nhttps://t…","Great Britian","London","en",,,163,112,9,5328,5328,0,0,false
"Wed Nov 22 18:11:09 +0000 2017","¡El diario de Viaja por España  está disponible! https://t.co/CWKudKtXnv Gracias a @SantaCruzenBICI @TurismeBalears @Avila_CyL #turismo","Murcia, Spain","Madrid","es",,,6322,1002,224,337,337,0,0,false
"Wed Nov 22 18:11:11 +0000 2017","RT @europapress: La Eurocámara pide explicaciones a España por la precariedad laboral denunciada por 'Las Kellys' https://t.co/950VEJwUr2","Terrassa, España",,"es",,,126,581,0,2533,2533,0,0,false
